tenure_years,department,role_level,overtime_hours_monthly,absence_rate,leave_utilization_rate,months_since_promotion,salary_percentile_in_dept,job_satisfaction,attrited
0.13,Engineering,2,8.4,0.0398,0.7254,2.2,91.9,3,0
6.5,HR,3,23.0,0.0135,0.8887,32.8,87.1,3,0
2.26,Finance,1,2.9,0.0406,0.6797,60.0,60.8,4,0
2.12,Engineering,1,4.0,0.0366,0.5833,7.8,27.7,1,0
6.86,Operations,2,23.9,0.0594,0.618,8.5,13.9,4,1
8.66,Finance,1,6.5,0.2102,0.3264,3.7,44.6,3,1
2.88,Sales,3,3.5,0.0086,0.7629,25.7,39.9,4,1
7.37,Operations,1,11.7,0.1055,0.9819,8.0,67.5,2,0
3.54,Sales,2,4.9,0.0386,0.5999,55.6,10.6,4,1
1.76,Operations,1,21.2,0.0628,0.3927,16.3,4.6,4,1
0.85,Sales,1,9.1,0.0267,0.784,36.9,72.6,1,1
4.82,HR,2,5.0,0.0069,0.5884,11.1,60.2,5,0
7.49,HR,1,5.3,0.0233,0.3982,8.7,35.4,1,1
9.34,Operations,1,11.3,0.0201,0.9435,2.9,74.4,2,0
1.06,Sales,1,7.2,0.1395,0.9615,6.3,44.3,2,0
3.59,Operations,1,6.4,0.0609,0.2787,5.6,79.2,2,0
1.8,HR,2,14.3,0.0386,0.7916,26.1,83.8,5,0
5.99,Sales,1,23.2,0.0507,0.8119,15.5,74.7,3,1
0.77,Finance,2,12.9,0.1315,0.8071,0.8,93.3,2,0
0.21,Marketing,3,4.5,0.0731,0.3792,32.0,7.2,4,0
1.26,HR,2,3.3,0.0735,0.7571,18.1,12.7,4,1
0.25,Engineering,2,13.7,0.0911,0.7942,23.5,79.1,5,1
1.65,HR,1,12.9,0.1011,0.4182,0.4,72.9,4,0
1.71,Finance,4,6.1,0.0386,0.3025,47.5,42.6,2,1
0.4,Engineering,2,7.3,0.0107,0.6334,0.4,53.3,2,0
10.81,Engineering,1,4.8,0.0274,0.7776,60.0,20.4,5,1
1.06,Operations,4,3.4,0.0116,0.4238,1.7,34.1,4,0
4.19,Engineering,3,5.1,0.0262,0.2927,34.9,7.8,2,1
0.7,HR,2,0.5,0.076,0.4258,30.1,3.4,4,0
1.78,Marketing,4,18.6,0.0236,0.8636,1.0,65.9,1,1
0.32,Sales,1,2.5,0.0241,0.4136,18.8,59.3,3,1
0.41,HR,3,8.1,0.0553,0.3962,12.0,70.1,1,0
0.04,Engineering,3,0.9,0.0445,0.4585,2.9,38.5,5,0
5.65,Marketing,2,12.6,0.0266,0.5938,8.5,80.5,3,0
1.24,Finance,1,15.4,0.1094,0.8795,13.2,37.7,2,1
2.42,Operations,1,8.7,0.0915,0.8656,1.9,30.8,5,1
3.04,Operations,4,7.8,0.052,0.4209,25.8,59.8,3,1
0.63,HR,1,4.8,0.042,0.32,22.6,54.6,4,0
10.27,Engineering,1,18.3,0.0497,0.0813,6.5,72.2,5,0
1.91,HR,3,2.0,0.0584,0.5157,25.3,45.8,3,0
0.26,Engineering,3,5.8,0.0418,0.6861,10.5,94.8,4,0
0.38,Finance,1,4.3,0.0123,0.733,19.7,49.0,2,0
1.74,Engineering,3,4.2,0.0377,0.4611,8.3,1.6,5,0
0.44,Operations,2,18.0,0.0675,0.4043,0.2,57.8,3,0
1.14,Finance,3,7.4,0.0218,0.8071,5.7,76.2,3,0
2.6,Sales,1,4.7,0.0045,0.627,10.9,50.0,4,0
0.15,Operations,1,10.5,0.0272,0.7188,21.9,30.7,5,0
1.26,Marketing,2,9.8,0.006,0.6614,32.2,55.0,3,1
5.49,HR,1,15.2,0.0546,0.7296,21.3,67.5,1,1
0.26,Engineering,2,11.3,0.0477,0.3061,35.8,62.6,4,0
3.4,HR,1,7.7,0.0448,0.7805,17.9,40.7,1,1
0.18,Finance,3,8.1,0.0358,0.4298,18.5,38.2,3,0
9.37,Marketing,4,10.9,0.0034,0.9208,5.6,81.1,3,0
0.89,Sales,3,3.7,0.0439,0.5733,11.2,26.2,3,0
0.86,Marketing,5,9.7,0.0122,0.5663,14.5,38.5,3,0
3.82,Sales,4,22.8,0.0381,0.68,28.6,66.2,4,1
7.91,Sales,2,8.7,0.0461,0.8023,3.3,41.5,2,1
11.16,HR,2,6.2,0.0377,0.7098,5.9,39.7,4,0
4.84,Engineering,4,6.2,0.0393,0.5176,0.2,12.5,3,0
6.05,HR,4,10.6,0.0541,0.7022,20.7,51.4,4,0
3.84,HR,5,9.3,0.0596,0.2969,11.6,98.9,3,0
0.67,Sales,3,13.0,0.0579,0.6106,4.8,85.6,2,1
4.08,Marketing,1,5.0,0.0487,0.7173,15.3,78.4,4,0
0.58,Sales,4,7.1,0.0119,0.5861,60.0,48.5,2,1
3.46,Marketing,4,14.6,0.0267,0.7225,11.4,82.3,3,0
2.69,Marketing,3,15.4,0.0682,0.5056,4.7,91.3,3,0
1.25,Finance,4,15.5,0.0197,0.3544,35.0,21.8,5,0
2.49,Sales,2,13.5,0.0343,0.4856,20.3,49.7,4,0
3.16,Marketing,4,13.8,0.1005,0.4181,33.4,85.7,4,1
0.81,Sales,1,9.7,0.0508,0.6107,22.1,82.2,2,0
1.46,Sales,4,2.4,0.1232,0.4863,2.9,88.3,3,0
1.48,Operations,1,2.6,0.1065,0.4643,11.8,95.8,1,0
0.39,HR,1,8.6,0.0595,0.3457,5.1,28.7,4,0
1.01,Marketing,1,8.9,0.0221,0.2442,27.3,58.5,2,1
3.59,Engineering,2,4.1,0.0884,0.4813,11.3,15.9,1,1
4.18,Finance,1,4.3,0.0139,0.1523,1.9,52.5,3,0
2.01,Operations,5,7.6,0.1067,0.4352,55.4,7.3,4,1
2.1,Marketing,2,31.7,0.0814,0.3968,21.5,42.0,3,1
1.39,Finance,4,3.5,0.076,0.4589,3.8,52.1,1,1
4.08,Operations,1,6.0,0.0298,0.508,24.5,69.6,4,0
1.42,Sales,1,15.1,0.025,0.8786,7.7,21.5,3,0
3.35,HR,3,13.3,0.0544,0.6457,52.9,87.8,5,0
2.24,Engineering,3,10.2,0.0209,0.7902,14.2,2.8,2,0
2.1,Marketing,2,1.4,0.0517,0.7159,9.4,61.5,4,0
10.06,Marketing,3,6.8,0.0551,0.662,6.7,91.3,4,0
7.51,Marketing,3,26.2,0.1629,0.9698,3.9,86.6,5,1
3.34,Marketing,2,4.2,0.0662,0.5964,0.4,52.4,5,0
4.18,Engineering,5,4.0,0.045,0.7466,9.9,14.3,3,0
0.52,Finance,3,22.2,0.0266,0.1044,4.2,9.8,4,1
1.62,Marketing,3,7.6,0.1005,0.689,8.2,71.2,3,0
4.56,Sales,2,1.5,0.0443,0.4019,16.4,12.5,5,0
3.58,HR,1,3.1,0.086,0.2698,0.1,6.0,4,0
0.83,Operations,1,5.1,0.067,0.7543,11.7,44.8,1,1
10.87,HR,3,9.9,0.0346,0.4109,10.0,18.5,2,1
0.13,Marketing,3,7.0,0.0218,0.3726,12.1,80.7,5,0
3.9,Finance,1,3.9,0.1111,0.854,0.8,54.2,4,1
0.34,Finance,2,7.1,0.0295,0.7247,29.0,85.5,4,0
8.6,Finance,1,4.2,0.0506,0.6463,32.8,38.9,5,0
0.3,Finance,1,27.2,0.0136,0.9622,11.3,92.2,1,0
5.43,Marketing,4,2.9,0.0619,0.7743,3.3,97.7,2,0
0.63,Operations,2,5.6,0.0321,0.5411,46.3,55.2,5,1
15.89,Sales,1,5.0,0.0391,0.571,11.0,18.7,4,1
2.02,Operations,2,5.1,0.0482,0.387,12.0,5.3,4,1
4.11,Finance,2,3.2,0.0863,0.7004,25.8,91.8,3,1
3.43,Finance,3,21.0,0.0272,0.5581,19.7,50.9,2,1
2.34,Sales,5,33.3,0.025,0.8113,31.8,20.2,1,1
5.05,HR,2,10.8,0.0414,0.5022,11.0,37.5,2,0
2.59,Finance,2,10.1,0.02,0.4336,20.0,93.1,2,1
9.59,HR,2,1.9,0.0783,0.6794,2.9,96.1,5,0
0.21,Sales,2,20.7,0.0088,0.1706,9.9,20.6,5,0
18.76,Marketing,1,4.2,0.0455,0.2674,57.0,50.5,4,1
2.9,HR,1,1.7,0.0689,0.7551,11.6,80.6,1,0
1.03,Finance,4,12.2,0.0501,0.7633,13.8,72.2,4,0
2.05,Engineering,2,17.1,0.0481,0.5749,30.0,65.6,2,0
4.35,Engineering,2,20.5,0.0226,0.4325,4.0,82.9,1,1
3.49,Operations,1,5.7,0.0309,0.4991,9.6,81.5,1,0
7.31,Engineering,3,5.2,0.0153,0.3005,28.3,60.5,4,0
7.97,Marketing,1,9.5,0.0452,0.909,34.1,49.1,3,0
3.31,Operations,2,7.0,0.0196,0.7919,30.6,81.9,4,1
5.51,HR,3,12.4,0.0482,0.329,2.8,76.4,4,1
2.35,Operations,2,9.6,0.031,0.2403,3.7,19.6,3,1
0.4,HR,4,3.9,0.0204,0.7,15.0,50.5,2,1
1.9,Operations,1,21.0,0.0533,0.7637,0.1,59.2,5,1
1.03,Sales,3,12.4,0.0101,0.9609,20.5,96.6,4,0
6.9,HR,5,16.8,0.0563,0.8249,19.4,47.8,2,1
0.8,HR,2,3.9,0.091,0.4663,21.4,27.3,4,0
4.46,Marketing,3,12.2,0.0156,0.5878,5.1,19.2,3,1
7.95,Engineering,2,14.6,0.0258,0.5032,3.1,93.2,4,0
0.47,Marketing,3,9.3,0.0302,0.7095,2.7,55.0,4,0
3.32,Engineering,4,3.2,0.2018,0.7866,20.5,25.1,3,1
9.13,Sales,3,8.7,0.0068,0.5391,24.3,42.2,4,0
1.81,Finance,4,13.7,0.0057,0.4353,5.9,3.0,4,1
1.72,Engineering,2,17.6,0.087,0.7922,11.1,0.4,4,1
2.32,HR,2,2.1,0.0432,0.3292,35.6,34.3,3,0
0.72,Operations,1,9.2,0.0175,0.6892,2.1,70.8,2,0
0.63,Marketing,3,2.5,0.0293,0.161,22.3,73.3,1,0
10.87,Engineering,4,13.8,0.0781,0.774,29.9,0.5,4,1
8.4,Finance,2,16.4,0.0149,0.7881,3.2,68.3,3,0
2.06,Finance,1,3.6,0.037,0.7141,16.8,75.9,4,0
1.13,Engineering,2,3.1,0.0268,0.7036,6.3,23.2,5,0
4.7,Finance,3,5.0,0.0155,0.5168,17.1,15.3,5,0
15.22,Finance,4,7.2,0.0187,0.6339,1.1,70.6,5,0
7.59,Marketing,1,4.4,0.0703,0.3074,41.3,56.8,5,0
1.7,Sales,1,14.7,0.033,0.8505,19.7,39.7,4,0
2.32,Sales,2,17.6,0.0577,0.625,12.3,57.9,3,1
3.83,Marketing,1,8.9,0.0677,0.9894,3.5,81.0,1,0
2.63,Marketing,5,4.6,0.0384,0.6579,9.4,9.3,2,1
1.13,Engineering,2,7.0,0.0575,0.5863,6.4,51.2,2,1
